O	企业风险预警
O130302	信用风险\客户违约\债务人申请破产或破产
O130303	信用风险\客户违约\集团信贷资金挪用
O130304	信用风险\客户违约\集团贷款用途违规
O130305	信用风险\客户违约\集团逃废债务
O130306	信用风险\客户违约\债券违约
O130307	信用风险\客户违约\债务展期
O130308	信用风险\客户违约\金融产品兑付危机
O130309	信用风险\客户违约\信贷逾期
O1304	信用风险\外部授信
O130401	信用风险\外部授信\长期合作银行退出
O130402	信用风险\外部授信\集团长期合作银行退出
O130403	信用风险\外部授信\同业合作退出
O1305	信用风险\其他
O130501	信用风险\其他\集团关联方多头融资过度授信
O14	声誉风险
O1401	声誉风险\社会责任形象
O140101	声誉风险\社会责任形象\负面媒体信息
O140102	声誉风险\社会责任形象\破坏生态环保
O140103	声誉风险\社会责任形象\商业侵权
O140104	声誉风险\社会责任形象\商圈市场声誉风险
O15	普通新闻
O1501	普通新闻\上市增发
O1502	普通新闻\披露变更
O1503	普通新闻\企业更名
O1504	普通新闻\业务合同
O1505	普通新闻\对外担保
O1506	普通新闻\重要抵质押
O150601	普通新闻\重要抵质押\股权质押
O150602	普通新闻\重要抵质押\资产抵押
O1507	普通新闻\关联交易
